Account Name,Account Number,Amount,Currency,Charges,Beneficiary name,Beneficiary Account No.,Beneficiary's Bank,BIC Code
John Doe,1234567890,50,HKD,B,Ellen Ein,1111111111,AAA Bank,AAAAAAAA
John Smith,1234567891,100,USD,P,John Doe,1111111112,BBB Bank,BBBBBBBB
Alice Ann,1234567892,400,HKD,S,John Smith,1111111113,CCC Bank,CCCCCCCC
Bob Blue,1234567893,50,USD,B,Alice Ann,1111111114,DDD Bank,DDDDDDDD
Cindy Crystal,1234567894,100,HKD,P,Bob Blue,1111111115,AAA Bank,AAAAAAAA
Dave Doe,1234567895,400,USD,S,Cindy Crystal,1111111116,BBB Bank,BBBBBBBB
Ellen Ein,1234567896,50,HKD,B,Dave Doe,1111111117,CCC Bank,CCCCCCCC
John Doe,1234567897,100,USD,P,Ellen Ein,1111111118,DDD Bank,DDDDDDDD
John Smith,1234567898,400,HKD,S,John Doe,1111111119,AAA Bank,AAAAAAAA
Alice Ann,1234567899,50,USD,B,John Doe,1111111120,BBB Bank,BBBBBBBB
Bob Blue,1234567900,100,HKD,P,John Smith,1111111121,CCC Bank,CCCCCCCC
Cindy Crystal,1234567901,400,USD,S,Alice Ann,1111111122,DDD Bank,DDDDDDDD
Dave Doe,1234567902,50,HKD,B,Bob Blue,1111111123,AAA Bank,AAAAAAAA
Ellen Ein,1234567903,100,USD,P,Cindy Crystal,1111111124,BBB Bank,BBBBBBBB
John Doe,1234567904,400,HKD,S,Dave Doe,1111111125,CCC Bank,CCCCCCCC
